*** SIMULATION LOOP NO. 1 (starting at time 0.000) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  6.500629e-14 |  1.049986e-06 |  1.049986e-06 |  1.000000e+00 | 
     2 |      0 |  1.446230e-13 |  1.032994e-06 |  1.032995e-06 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 21 (starting at time 1.000) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  7.549304e-14 |  8.191502e-07 |  8.191503e-07 |  1.000000e+00 | 
     2 |      0 |  1.720945e-13 |  8.062774e-07 |  8.062776e-07 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 22 (starting at time 1.050) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  5.889634e-14 |  6.387805e-07 |  6.387805e-07 |  1.000000e+00 | 
     2 |      0 |  1.074172e-13 |  6.288430e-07 |  6.288431e-07 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 23 (starting at time 1.100) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  6.659479e-14 |  4.973103e-07 |  4.973104e-07 |  1.000000e+00 | 
     2 |      0 |  1.030849e-13 |  4.895486e-07 |  4.895487e-07 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 24 (starting at time 1.150) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  5.802341e-14 |  3.866761e-07 |  3.866762e-07 |  1.000000e+00 | 
     2 |      0 |  8.260622e-14 |  3.805845e-07 |  3.805846e-07 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 25 (starting at time 1.200) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  4.212987e-14 |  3.003552e-07 |  3.003552e-07 |  1.000000e+00 | 
     2 |      0 |  6.840375e-14 |  2.955630e-07 |  2.955631e-07 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 26 (starting at time 1.250) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  3.233328e-14 |  2.332520e-07 |  2.332520e-07 |  1.000000e+00 | 
     2 |      0 |  7.704115e-14 |  2.295004e-07 |  2.295005e-07 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 27 (starting at time 1.300) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  3.002156e-14 |  1.811829e-07 |  1.811829e-07 |  1.000000e+00 | 
     2 |      0 |  5.123217e-14 |  1.782537e-07 |  1.782538e-07 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 28 (starting at time 1.350) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  2.459990e-14 |  1.408052e-07 |  1.408052e-07 |  1.000000e+00 | 
     2 |      0 |  6.012562e-14 |  1.385285e-07 |  1.385285e-07 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 29 (starting at time 1.400) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  2.644518e-14 |  1.094835e-07 |  1.094835e-07 |  1.000000e+00 | 
     2 |      0 |  4.006463e-14 |  1.077161e-07 |  1.077161e-07 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 30 (starting at time 1.450) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  2.070172e-14 |  8.515822e-08 |  8.515825e-08 |  1.000000e+00 | 
     2 |      0 |  4.387904e-14 |  8.378754e-08 |  8.378759e-08 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 31 (starting at time 1.500) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  1.630798e-14 |  6.625068e-08 |  6.625070e-08 |  1.000000e+00 | 
     2 |      0 |  3.179874e-14 |  6.518597e-08 |  6.518601e-08 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 32 (starting at time 1.550) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  1.460216e-14 |  5.154122e-08 |  5.154124e-08 |  1.000000e+00 | 
     2 |      0 |  3.324484e-14 |  5.071341e-08 |  5.071345e-08 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 33 (starting at time 1.600) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  2.117944e-14 |  4.009515e-08 |  4.009517e-08 |  1.000000e+00 | 
     2 |      0 |  3.572346e-14 |  3.945097e-08 |  3.945102e-08 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 34 (starting at time 1.650) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  9.676131e-15 |  3.118817e-08 |  3.118818e-08 |  1.000000e+00 | 
     2 |      0 |  2.242541e-14 |  3.068645e-08 |  3.068647e-08 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 35 (starting at time 1.700) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  8.461811e-15 |  2.425842e-08 |  2.425843e-08 |  1.000000e+00 | 
     2 |      0 |  2.066564e-14 |  2.386760e-08 |  2.386762e-08 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 36 (starting at time 1.750) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  1.205720e-14 |  1.886826e-08 |  1.886828e-08 |  1.000000e+00 | 
     2 |      0 |  1.728418e-14 |  1.856385e-08 |  1.856387e-08 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 37 (starting at time 1.800) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  5.159284e-15 |  1.467628e-08 |  1.467629e-08 |  1.000000e+00 | 
     2 |      0 |  1.982816e-14 |  1.443925e-08 |  1.443927e-08 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 38 (starting at time 1.850) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  1.021773e-14 |  1.141638e-08 |  1.141639e-08 |  1.000000e+00 | 
